"FLUENCIA","RES_TRA","RELACION","ALARGA","PE_MET"
495,657,1.33,16.9,7.719
519,683,1.32,14.2,7.681
442,665,1.5,16.1,0.538
490,708,1.44,14.7,0.381
493,619,1.26,15,2.825
464,587,1.27,16.7,3.68
467,588,1.26,16.8,3.678
431,678,1.57,15.3,0.949
467,646,1.38,15,0.53
452,667,1.48,14.2,0.538
446,657,1.47,15.1,0.537
482,661,1.37,14.9,0.532
473,656,1.39,15.1,0.53
370,518,0,29.3,0
464,587,1.26,16.4,0.53
462,590,1.28,16.3,0.532
485,628,1.29,16,0.533
503,632,1.26,16.2,0.533
477,616,1.29,16.2,0.537
468,585,1.25,16.6,0.533
474,598,1.26,16.4,0.531
488,611,1.25,16.4,0.528
461,594,1.29,15.1,0.529
473,604,1.28,14.9,0.529
489,629,1.29,17.9,0.536
480,611,1.27,15.6,0.534
489,614,1.26,16.3,0.532
497,636,1.28,16.3,0.532
488,611,1.25,16.4,0.528
473,604,1.28,14.9,0.529
480,611,1.27,15.6,0.534
471,654,1.39,14.5,0.217
434,632,1.46,14.3,0.215
444,635,1.43,14.7,0.217
431,678,1.57,15.3,0.949
435,655,1.51,15.1,0.942
459,639,1.39,14.9,1.465
446,658,1.48,14.8,1.47
460,577,1.26,17.1,2.136
465,584,1.26,16.4,0.542
460,577,1.26,17.1,2.136
498,622,1.25,16.2,2.898
456,568,1.25,16.7,0.542
455,573,1.26,16.7,0.543
